Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen)," cuantización"
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,humaneval,164,164,1,48.170731707317074,0.02417770038669577,87039.72139210477,0.004208128752304399,30889818.235727362,51675,8864,0.0,0.04003760708153033,24.976517651608308,170.58364193487313,2.1639838364066146,9.819463153441422,16
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,humaneval,164,41,4,45.1219512195122,0.012078084304478282,43481.10349612182,0.002102190573194445,7711212.457193409,51675,8909,0.0,0.01990641952430724,50.235050998444216,341.6141351094112,1.0813798264759342,4.880581826930275,16
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,humaneval,164,11,16,46.34146341463415,0.005710560036203308,20558.016130331907,0.0009939229743011857,1725489.6076368005,51675,8837,0.0,0.009497871519794315,105.28674744819625,720.9586580949702,0.5117846989050144,2.3263569232015286,16
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,humaneval,164,6,32,44.51219512195122,0.003808989580758732,13712.362490731435,0.0006629546365310574,768295.3725257003,51675,8736,0.0,0.006413621207078298,155.91815726447405,1078.201900011921,0.3416426516160732,1.5696385634994774,16
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,humaneval,164,3,64,47.5609756097561,0.0027778808378883836,10000.371016398181,0.0004834901598344732,409628.6755154786,51675,8823,0.0,0.004642564639960856,215.39818560467722,1476.9533529085077,0.24976431596569898,1.1334433884617683,16
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,humaneval,164,2,128,45.73170731707317,0.002217636673368466,7983.492024126477,0.0003859796629997815,261233.07084624385,51675,8874,0.0,0.003687362507546515,271.19655253678235,1850.425970199418,0.19952228592663276,0.8996497660724,16
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,65.52631578947368,0.01142426617372962,41127.35822542663,0.0019883935275376405,6936287.622056113,170633,2280,0.0,0.07397099022279706,13.518813212964274,1025.2537496023208,0.14794198044559412,18.03831501115203,16
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,mmlu,1140,285,4,65.43859649122807,0.005471656312808901,19697.962726112044,0.0009523417812443893,1592667.1108365518,170633,2280,0.0,0.03546245955584342,28.198833711048177,2138.5723392449445,0.07092491911168684,8.639457336014054,16
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,mmlu,1140,72,16,65.52631578947368,0.003722838467932493,13402.218484556975,0.0006479600353436505,736246.6186875276,170633,2280,0.0,0.024094159038443315,41.50383495039005,3147.6107950775418,0.04818831807688663,5.8781660019986735,16
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,mmlu,1140,36,32,65.78947368421053,0.0035339779646839944,12722.320672862379,0.0006150888647532492,666982.3233388066,170633,2280,0.0,0.022993926520933183,43.489744958940406,3298.2202938970445,0.04598785304186637,5.57996520739578,16
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,mmlu,1140,18,64,65.87719298245615,0.003414959499086711,12293.85419671216,0.0005943737008160421,616374.7178203635,170633,2280,0.0,0.02198983200809412,45.47556341639697,3448.822849569934,0.04397966401618824,5.392041314347439,16
Qwen/Qwen2.5-3B-Instruct,vllm,cuda,mmlu,1140,9,128,65.52631578947368,0.0032975376195105367,11871.135430237933,0.000573936422675809,576520.3088324479,170633,2280,0.0,0.021300387487076876,46.947502744103055,3560.4533078908294,0.04260077497415375,5.206638346595585,16
Qwen/Qwen2.5-3B-Instruct,hf,cuda,humaneval,164,164,1,46.95121951219512,0.02821851006651619,101586.63623945828,0.0049114316770771434,42644458.20760686,51675,9393,0.06506580550496172,0.04355513071031549,22.959407621824962,145.4747688825047,2.559659358931751,10.815142791382762,16
Qwen/Qwen2.5-3B-Instruct,hf,cuda,humaneval,164,41,4,45.73170731707317,0.019378670711729024,69763.21456222449,0.0033728576373764363,20351957.451341525,62772,16936,0.32945364859046006,0.016427814524073502,60.87236975646327,273.22611692858317,1.778835770560474,4.119226178685905,16
Qwen/Qwen2.5-3B-Instruct,hf,cuda,humaneval,164,11,16,46.34146341463415,0.01482211138669005,53359.60099208418,0.0025797884868534035,12056903.547044532,72508,25584,1.291094346479936,0.00827679863715634,120.81966033470762,434.1205816313054,1.37777837892858,2.0856629530989754,16
Qwen/Qwen2.5-3B-Instruct,hf,cuda,humaneval,164,6,32,48.78048780487805,0.015426695583369282,55536.104100129414,0.002685016366285424,12883193.43976549,77052,30240,2.562928477923075,0.007162735875321444,139.6114581643879,462.5079728073653,1.414504291080847,1.8365113789725336,16
Qwen/Qwen2.5-3B-Instruct,hf,cuda,humaneval,164,3,64,48.170731707317074,0.01583054263036799,56989.95346932476,0.002755305944815549,13454576.445291337,80688,34048,5.359475374221802,0.006461712468723606,154.75773718503632,485.9907205436268,1.4395537332790653,1.6738120732296982,16
Qwen/Qwen2.5-3B-Instruct,hf,cuda,humaneval,164,2,128,46.95121951219512,0.017986660059716872,64751.976214980736,0.0031305781833937223,17922881.292835772,84976,41408,7.992401361465454,0.006298493162096928,158.76813299056985,456.60145979013555,1.6877610218234178,1.5637552215750756,16
Qwen/Qwen2.5-3B-Instruct,hf,cuda,mmlu,1140,1140,1,65.52631578947368,0.010868006500667503,39124.82340240301,0.001891576531441179,6501312.68375188,170633,2280,0.03239661538810061,0.05668260737469322,17.642095985275102,1040.58840392146,0.14576183013748703,17.160010264211845,16
Qwen/Qwen2.5-3B-Instruct,hf,cuda,mmlu,1140,285,4,65.70175438596492,0.008698184541919023,31313.46435090848,0.001513919019521006,4070501.5558450334,212260,2280,0.17149848519710073,0.03557674822054411,28.10824625682178,1650.4085675135568,0.11402811774036341,13.73397559250372,16
Qwen/Qwen2.5-3B-Instruct,hf,cuda,mmlu,1140,72,16,65.6140350877193,0.008772935715269378,31582.56857496976,0.0015269294612426352,4334274.471436643,267236,2280,0.7460521592034234,0.036631812442813,27.298676568655438,1963.8829077730627,0.12038270862478959,13.852003760951648,16
Qwen/Qwen2.5-3B-Instruct,hf,cuda,mmlu,1140,36,32,65.70175438596492,0.009381926063916732,33774.933830100235,0.001632924231424707,4971547.354998908,296736,2280,1.600121882226732,0.03929472513366164,25.44870835967128,2031.408914165612,0.1291196149692201,14.813567469342209,16
