Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),cuantización,Attention Implementation
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,72.5609756097561,0.029157031079291035,104965.31188544772,0.005074781259350605,44952980.89252265,51675,10793,0.1321584611404233,0.037671743061769375,26.54509504273073,145.8629210493762,2.6113726249555262,9.725313803895833,16,FLASHINFER
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,71.95121951219512,0.02930823683899227,105509.65262037217,0.005101098621826605,45765171.62265168,51675,10926,0.1322001553163296,0.037714862221220835,26.51474620626706,144.3239373851433,2.6448378664691274,9.656750194066646,16,FLASH_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,72.5609756097561,0.029356971606545566,105685.09778356404,0.005109580908119257,46307538.91088848,51675,11080,0.13356048886368915,0.037568713461018644,26.617893131677285,143.2222153755636,2.671739422693485,9.538366225953434,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,71.34146341463415,0.030751090157177145,110703.92456583772,0.0053522272418566825,49432898.299003385,51675,10630,0.14753489668776348,0.039730645325087424,25.169487981323133,139.53072260409172,2.722759041844345,10.414292056993201,16,FLEX_ATTENTION
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,71.95121951219512,0.01364078422274688,49106.823201888765,0.0023741784939690946,9933087.18712514,51675,10763,0.33200910033249276,0.017528822727056283,57.04889686952387,308.6786383042852,4.933538832315585,4.56255906363363,16,FLASHINFER
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,72.5609756097561,0.014078023006795923,50680.88282446533,0.0024502799043328305,10503804.183024356,51675,10977,0.3346971767704661,0.017630608429117716,56.71953999888379,302.29606487238897,5.054970072536934,4.617006725377182,16,FLASH_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,72.5609756097561,0.013822883122674576,49762.37924162848,0.00240587280750151,10150509.723966502,51675,10911,0.33820487231743046,0.017423993255661383,57.39212506152005,306.8248149019593,4.975111955549659,4.560753298655346,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,72.5609756097561,0.01580913735402385,56912.89447448586,0.002751580356467851,13008132.899720244,51675,10781,0.42128633871311094,0.019598311765794796,51.02480315397951,273.25610559951565,5.5746863179090544,5.2789995802324325,16,FLEX_ATTENTION
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,72.5609756097561,0.006302907243436913,22690.466076372886,0.0010970210057201948,2109936.621545984,51675,10800,1.0160418423739346,0.007575124458030418,132.01103236526976,671.8622984432147,8.453436764803799,2.1009690811456374,16,FLASHINFER
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,72.5609756097561,0.006446719375688311,23208.18975247792,0.0011220515073385507,2202281.346005689,51675,10842,1.0334105708382346,0.007703828275082758,129.8055933092898,658.8197286360315,8.626583857969804,2.14058197311178,16,FLASH_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,72.5609756097561,0.006253074385806678,22511.06778890404,0.0010883475968496523,2094611.8343568307,51675,10776,1.0405410853299228,0.00757258137067159,132.05536540986853,671.1690784066069,8.45891716263511,2.0890003516057947,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,72.5609756097561,0.007647672194839355,27531.61990142168,0.00133107734551179,3073029.9829517235,51675,10625,1.359572714025324,0.009097685151941636,109.91807072885778,558.1526797246079,10.147109508514404,2.5912112848396873,16,FLEX_ATTENTION
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,71.95121951219512,0.004262863038437763,15346.306938375947,0.0007419513118400927,962623.8217888988,51675,10728,1.8107243378957112,0.004834302297552337,206.85508237792894,994.838866646587,10.45445684591929,1.4304909524958935,16,FLASHINFER
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,71.95121951219512,0.004287791745308243,15436.050283109675,0.0007462901532708997,980264.5790377021,51675,10835,1.837914268175761,0.004843322395673258,206.46983997871828,984.3337440024693,10.584147294362387,1.424647003517275,16,FLASH_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,71.34146341463415,0.004272675460038537,15381.631656138732,0.0007436591638197074,973592.302800342,51675,10622,1.8298531770706177,0.004925311273873986,203.03285303092196,984.2205043387469,10.549295902252197,1.4480918523949098,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,71.95121951219512,0.005508749115686513,19831.496816471445,0.0009587977835852376,1587225.8543013686,51675,10889,2.341485063234965,0.006059940770611924,165.01811450857159,781.7020895062481,13.339267571767172,1.8212413276215855,16,FLEX_ATTENTION
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,72.5609756097561,0.0028407650290173414,10226.754104462429,0.0004944351533004683,434421.06453915924,51675,10832,3.5087528228759766,0.0029498358508860873,339.00191419112855,1471.4841682130514,14.159626801808676,0.9441242710914355,16,FLASHINFER
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,72.5609756097561,0.0029420920080759244,10591.531229073327,0.0005120711140056146,459617.0328710213,51675,10701,3.549816608428955,0.003060024059350196,326.7948161859723,1437.4083306222312,14.464922428131104,0.9897702297984606,16,FLASH_ATTN
