Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),Cuantizacion,Attention Implementation,Speculative Decoding
Qwen/Qwen2.5-Coder-3B-Instruct-AWQ,vllm,cuda,humaneval,164,164,1,70.1219512195122,0.14281827021761545,514145.7727834156,0.02485751993137597,1243926677.6038988,51675,11113,0.3768730308951401,0.21214770818072026,4.713696926427032,25.95183893290908,14.752467427311874,46.265254457249675,awq,auto,
Qwen/Qwen2.5-Coder-3B-Instruct-GPTQ-Int4,vllm,cuda,humaneval,164,164,1,71.95121951219512,0.024314983252976246,87533.93971071449,0.004232022835180515,47250035.97116037,51675,10752,0.14464136013170567,0.047997568135282824,20.834388883650625,115.65030887290935,3.2914087539765893,8.141177428451869,gptq,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,71.95121951219512,0.02952542183987699,106291.51862355716,0.005138899671230591,46106004.621931285,51675,10926,0.13222221484998378,0.03771599144720014,26.513952348301196,144.31862860197194,2.644935157240891,9.728310326153867,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct-AWQ,vllm,cuda,humaneval,164,41,4,70.73170731707317,0.05693770812841227,204975.74926228417,0.009910008099750156,175852732.75780308,51675,11067,0.5824245534292082,0.07536281653511348,13.269143139496043,73.1327188297196,20.92487066548045,18.52134718191779,awq,auto,
Qwen/Qwen2.5-Coder-3B-Instruct-GPTQ-Int4,vllm,cuda,humaneval,164,41,4,72.5609756097561,0.006266467848102596,22559.284253169346,0.001090678728962257,2092008.9916505674,51675,10725,0.4143216900709199,0.007062624506739191,141.59042421776707,672.8935406186333,2.261800905553306,2.103429767195277,gptq,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,72.5609756097561,0.01356749202888911,48842.9713040008,0.0023614219876281497,10120035.28501457,51675,10977,0.3342937201988406,0.017626790734515486,56.731824588004756,302.3813407715656,5.053544498071438,4.4495737727977405,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct-AWQ,vllm,cuda,humaneval,164,11,16,70.1219512195122,0.02351101487131372,84639.65353672938,0.004092092138352153,29867760.251912292,51675,11065,1.27159968289462,0.030627547504133733,32.65034524442521,177.7934407570587,32.08012814955278,7.649313469202836,awq,auto,
Qwen/Qwen2.5-Coder-3B-Instruct-GPTQ-Int4,vllm,cuda,humaneval,164,11,16,72.5609756097561,0.004303914427994026,15494.091940778495,0.0007490963061923603,988720.103583168,51675,10694,1.2003487673672764,0.00473245563118262,211.30678825827772,977.3757171036702,5.801156087355181,1.4488584197473813,gptq,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,72.5609756097561,0.006446418432909609,23207.106358474593,0.0011219991282479175,2203315.4786570542,51675,10850,1.0411147204312412,0.0076948526707662415,129.95700408912722,658.5640318507815,8.63103758205067,2.138903811840976,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct-AWQ,vllm,cuda,humaneval,164,6,32,70.1219512195122,0.013143713164317434,47317.367391542764,0.0022876632762494496,9608654.728539074,51675,11013,2.0380597909291587,0.017328601263204388,57.70806222677669,308.7041017543178,33.84470740954081,4.296501170575026,awq,auto,
Qwen/Qwen2.5-Coder-3B-Instruct-GPTQ-Int4,vllm,cuda,humaneval,164,6,32,71.95121951219512,0.0038432503240201704,13835.701166472614,0.0006689177188957107,786031.8132830389,51675,10758,2.0348870754241943,0.004145987172577988,241.19708006192332,1098.943218746467,9.468642075856527,1.2860848825499733,gptq,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,72.5609756097561,0.004315250141638384,15534.900509898182,0.0007510692871521607,986624.3387226319,51675,10842,1.8338011900583904,0.004842960115421129,206.48528506682595,984.3618660722449,10.585030118624369,1.432844540665761,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct-AWQ,vllm,cuda,humaneval,164,3,64,70.1219512195122,0.008530338140911739,30709.21730728226,0.0014847053534256882,3956537.0726527977,51675,11073,3.8184197743733725,0.010600874872482385,94.33183695015468,487.02740103616975,42.94624892870585,2.773342121130882,awq,auto,
