Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),Cuantizacion,Attention Implementation,Speculative Decoding
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,68.90243902439023,0.02529511296686103,91062.40668069971,0.004402614411882162,33887735.17637776,51675,12566,0.19486518167867894,0.027071430617488342,36.939311192294085,172.62705923329656,2.2691310178942796,7.246729801106137,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,68.29268292682927,0.029589627130386043,106522.65766938975,0.005150074602043691,46688318.74004066,51675,12596,0.4287033837016036,0.03340091174199264,29.939302487445865,146.6387720917831,10.690115195948904,8.456863898808333,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,68.29268292682927,0.014924658722866817,53728.77140232054,0.0025976368507149693,11798761.886028914,51675,12549,1.275878125971014,0.01638090049083399,61.0467050062086,292.4609080066809,19.963507240468804,4.281518160994545,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,67.6829268292683,0.009545148631481176,34362.535073332234,0.0016613331193092986,4822561.599959891,51675,12694,2.1382968028386435,0.010045203333184984,99.55000081446184,458.6529325314826,23.39059865474701,2.706990316159779,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,66.46341463414635,0.006411347206342426,23080.849942832734,0.0011158949812638994,2174113.667688067,51675,12621,4.066772937774658,0.0064967312210949864,153.9235603210711,682.579917499186,31.398521184921265,1.8287655449514884,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,2,128,66.46341463414635,0.0046223619601225225,16640.50305644108,0.0008045220991593251,1126903.9964574005,51675,12564,6.006059169769287,0.004433972484099186,225.53139506077966,948.589479852047,33.86027431488037,1.3244590143617543,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,57.01754385964912,0.01512952868579743,54466.30326887075,0.002633294467763043,12217767.701874921,170633,2280,0.16778229767816108,0.014493902524312338,68.99453051533786,770.8390048768882,0.19677010272678577,23.88872950389068,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,285,4,56.84210526315789,0.009548551031026612,34374.7837116958,0.0016619253069501821,4866550.267988156,170633,2280,0.38852483096875645,0.013527932187967133,73.9211274942288,1221.3676318189266,0.49674828847249347,15.076659522673598,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,72,16,56.75438596491228,0.004917460160931289,17702.856579352643,0.0008558839410100909,1296205.4932882045,170633,2280,0.9042807983027564,0.0035578571913535135,281.0680547915895,2361.5499668500433,1.016946276028951,7.764410780417826,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,36,32,57.10526315789474,0.0042550626834611666,15318.225660460199,0.0007405936600564161,962098.1343381683,170633,2280,1.6203551888465881,0.0019625556050685412,509.5397029349777,2753.066718551763,1.7446503771675959,6.7185200265176315,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,18,64,57.01754385964912,0.0038156387454339343,13736.299483562163,0.0006641119236427763,781034.0596843932,170633,2280,3.0146001312467785,0.0011387408825389127,878.1629037243496,3041.0770479855496,3.158840643035041,6.024692755948317,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,9,128,56.92982456140351,0.0037392752545352455,13461.390916326884,0.0006508208580518596,733824.8502868022,170633,2280,5.814303742514716,0.0009581434099297775,1043.6850993665867,3171.941487951942,6.057033406363593,5.904118822950387,nf4_double,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,0.0,0.06343019354073418,228348.69674664302,0.011040025185764782,213139133.82027748,51675,41956,0.08779742950346411,0.021903767725773314,45.65424599637891,100.31248810044123,5.6914222996409345,5.4425754778015785,fp8,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,68.90243902439023,0.02528283471951291,91018.20499024648,0.004400477382931223,33852889.486503124,51675,12566,0.19355360909206112,0.02707246341049605,36.937901986868994,172.72086948765823,2.267898579923118,7.243212238599911,int8,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,68.90243902439023,0.025229944854092873,90827.80147473434,0.004391271901854865,33784650.669845,51675,12566,0.19362147842965474,0.027073837248701854,36.93602760532028,172.70768466895558,2.2680717154247003,7.228059961382647,fp4,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,68.90243902439023,0.025261801338303844,90942.48481789384,0.004396816522931784,33819060.48074483,51675,12566,0.19366174209408643,0.02706609409022024,36.946594387305,172.74980688811996,2.267518683177669,7.2371864410229065,nf4,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,71.95121951219512,0.02945133571460251,106024.80857256905,0.005126004981126568,45981034.566914596,51675,10926,0.13226375347230493,0.03770735760038859,26.520023243148035,144.34775345892714,2.6444014921420957,9.703899741219939,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,0.0,0.016949729095125394,61019.02474245142,0.002950100349006575,15304960.088440517,51675,41956,0.29297625727769805,0.005691932778372552,175.68724701030672,373.29547235968107,6.117628248726449,1.4543575350951334,fp8,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,68.29268292682927,0.029521162697905043,106276.18571245816,0.005138158367570374,46583293.98601692,51675,12596,0.4279457534231791,0.03340562083070791,29.935082035079446,146.6293202446295,10.690804289608467,8.43729642048731,int8,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,68.29268292682927,0.029189412655610016,105081.88556019605,0.005080417272708923,46039815.24874695,51675,12596,0.42805548993552606,0.033390161365734354,29.94894181692155,146.69298367836467,10.68616457683284,8.342480593854878,fp4,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,68.29268292682927,0.02937392023830003,105746.11285788011,0.00511253081747612,46334976.80569956,51675,12596,0.42822848878255704,0.033392707784427995,29.946658008558668,146.6798709749824,10.687119885188777,8.395213786748183,nf4,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,72.5609756097561,0.014026216393557528,50494.3790168071,0.002441262963298688,10462231.54191599,51675,10977,0.3343118981617253,0.017626781112630587,56.73185555605745,302.380407228269,5.0535600999506505,4.600016308354477,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,0.0,0.005461782154382288,19662.415755776237,0.0009506231839702373,1585811.6966274795,51675,41956,1.0048438852483577,0.001658848390325553,602.8278448060872,1160.9270215021966,7.331993254748258,0.46864371617352074,fp8,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,68.29268292682927,0.01468917650535698,52881.03541928513,0.0025566511707573827,11615741.21694375,51675,12533,1.2793079723011365,0.016403541726258693,60.96244437255925,292.3089847463758,19.968906922773883,4.219343766000569,int8,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,67.6829268292683,0.01465012034498442,52740.433241943916,0.0025498534460445385,11573823.583879087,51675,12542,1.2728879235007546,0.016380721578718165,61.047371765307346,292.62865266197366,19.949888836253773,4.205105504859186,fp4,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,68.29268292682927,0.014818166619579836,53345.39983048741,0.002579101900137871,11718053.849834923,51675,12531,1.2777436646548184,0.016407998654060587,60.945885057866214,292.2921148347962,19.969437404112384,4.2570744418232715,nf4,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,72.5609756097561,0.00643676339357547,23172.34821687169,0.0011203186686518105,2200495.5011939607,51675,10850,1.038210847161033,0.0076997058842039326,129.87509069034905,658.4203746264304,8.632920742034912,2.13570029648587,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,0.0,0.003609646661348915,12994.727980856094,0.0006282590014077787,691775.0057091733,51675,41956,1.813836932182312,0.0010094391582509744,990.6491063143129,1758.8223996734705,8.87250848611196,0.3097227567178972,fp8,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,67.6829268292683,0.009452231277496458,34028.03259898725,0.0016451608538482587,4781505.16992818,51675,12685,2.147270917892456,0.010061728432745175,99.38650269525974,458.0240113185352,23.419441779454548,2.6825410011026607,int8,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,67.6829268292683,0.009553083485104353,34391.100546375674,0.0016627141805824126,4837624.263637223,51675,12806,2.157495896021525,0.009973452107228284,100.26618559437885,458.40115591439974,23.444167176882427,2.68554588055409,fp4,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,67.6829268292683,0.009528936717356598,34304.17218248375,0.001658511435655916,4814744.838338862,51675,12685,2.138257543245951,0.01005320866652065,99.47072951248046,458.553172763019,23.39241619904836,2.7043099867941467,nf4,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,71.95121951219512,0.0042671498209549295,15361.739355437747,0.0007426974263372055,976608.9922901612,51675,10947,1.833968997001648,0.004802256465949151,208.23544246139153,985.0235350182062,10.595685919125875,1.4032830323776146,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,0.0,0.0026772437750907816,9638.077590326813,0.0004659742790545506,380742.8257405303,51675,41956,3.5938994884490967,0.0006845820187635855,1460.7453491198712,2370.1637479438036,13.168007214864096,0.2297186955459723,fp8,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,66.46341463414635,0.006383315570254908,22979.93605291767,0.0011110160750028668,2167292.479568947,51675,12591,4.0915985107421875,0.00651557344599189,153.47843260291364,681.4163682561818,31.43746026357015,1.8251080972851774,int8,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,65.85365853658537,0.006423888406573051,23125.998263662983,0.0011180777771640396,2182138.592877788,51675,12459,4.056008259455363,0.006596889950526986,151.58658208632326,679.6831225489567,31.45289222399394,1.8561680924362294,fp4,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,65.85365853658537,0.006406666266025217,23063.99855769078,0.001115080263601689,2177381.781113617,51675,12459,4.0536402861277265,0.00660126518692248,151.4861123866168,679.341811495462,31.46869460741679,1.8511917936985938,nf4,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,71.95121951219512,0.0029026834557600778,10449.66044073628,0.0005052120554750416,455096.7158169319,51675,11006,3.559326728185018,0.0029868580700158423,334.79997259953365,1439.2438866758828,14.51711336771647,0.9494512484768562,,auto,
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,2,128,0.0,0.0025877906710186902,9316.046415667284,0.0004504049662908031,354818.8506492985,51675,41956,5.415630221366882,0.0006496231359775851,1539.3540417786235,2458.355130650858,19.043424367904663,0.2220432456780266,fp8,auto,
