Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),cuantización, speculative_method
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,164,1,71.95121951219512,0.013320652822793823,47954.350162057766,0.002318459623807265,9393413.350535523,51675,10857,0.14789686261153803,0.015807987258635667,63.25916029908962,319.23235063033184,1.1944048971664616,4.416906158428458,16,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,41,4,72.5609756097561,0.006630254063122745,23868.914627241884,0.0011539957196865138,2328865.0444605346,51675,10957,0.46505115090346916,0.007164539315572803,139.57631551081107,641.9255012175728,2.379730596774962,2.1784169596825667,16,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,11,16,72.5609756097561,0.0034534157596724803,12432.29673482093,0.0006010670129709952,632771.1517877481,51675,10940,1.2653958580710671,0.0033800741436276617,295.85149837179335,1230.2208434305003,4.627033233642578,1.1364073797825347,16,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,6,32,71.95121951219512,0.0026338198597016934,9481.751494926097,0.00045841634658107976,376941.56557289924,51675,10695,2.204587777455648,0.0024803082705547232,403.17569064765854,1568.882009177548,6.625737269719441,0.8865592795629824,16,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,3,64,72.5609756097561,0.00220509743202107,7938.350755275852,0.00038379720804326725,258148.54024143217,51675,11103,4.290030002593994,0.0017697086615958836,565.0647599239427,1930.4923562559154,10.83972175916036,0.7149734986288258,16,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,humaneval,164,2,128,72.5609756097561,0.001960518281925767,7057.865814932761,0.00034122820696917976,206138.99947612782,51675,10996,6.703653931617737,0.0014368570167483223,695.9634732919,2145.753640076607,14.603493809700012,0.6418575677457949,16,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,58.15789473684211,0.015024306639402856,54087.50390185029,0.0026149805705880675,11994766.335826114,170633,2280,0.11456305917940642,0.03998423511521858,25.009856937825614,779.709441629278,0.19453152940984358,23.72258943063609,16,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,285,4,57.80701754385965,0.00797395694302449,28706.244994888162,0.0013878672059334123,3401193.013196621,170633,2280,0.32757019494709216,0.011019816001256308,90.74561679487168,1459.3946657958013,0.41572872295714264,12.5904583310913,16,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,72,16,57.80701754385965,0.004901180554170933,17644.249995015358,0.000853050475453451,1275222.188754489,170633,2280,0.8804231550958421,0.0038963277088968377,256.6519232241707,2392.4616637732192,1.0038068658775754,7.7387061381646305,16,draft_model
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,36,32,58.07017543859649,0.004369730604006091,15731.030174421929,0.0007605516116272603,1036048.9386375163,170633,2280,1.6382823983828227,0.003018439861766079,331.29697651650525,2625.454762906237,1.8294502562946744,6.8995746379043545,16,draft_model
