Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),Cuantizacion,Attention Implementation,Speculative Decoding
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-fp16.gguf,llamacpp,cuda,humaneval,164,164,1,71.95121951219512,0.02365642145488504,85163.11723758615,0.004117400154222742,38888364.03944163,51675,10549,0.12755817611043047,0.041303851726733405,24.210817107712074,136.26671982439217,2.7843528826062274,8.073098610065992,f16,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-fp16.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.36842105263158,0.006986222590344322,25150.40132523956,0.0012159520418494293,3729558.7800230384,170633,1140,0.08925190243804663,0.04082724608873066,24.493447288280972,1158.356830298754,0.1300791485267773,22.061755548455753,f16,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-fp16.gguf,llamacpp,cuda,resumen,100,100,1,26.269394767388043,0.01832663011830589,65975.86842590121,0.00318974997209114,26906287.953401495,93940,8257,0.7237057614326478,0.04062608268079911,24.614728617992615,250.5933125074369,4.078201408386231,7.990295316204579,f16,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q8_0.gguf,llamacpp,cuda,humaneval,164,164,1,71.34146341463415,0.013295501053857857,47863.803793888284,0.00231408195842396,14018412.597496271,51675,10812,0.11314061211376655,0.025372385273057355,39.41292823824051,213.35265222560753,1.7858615241399625,4.426914890296733,q8_0,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q8_0.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.45614035087719,0.0052507048542981705,18902.537475473415,0.0009138851798905966,2190173.2766337064,170633,1140,0.07658644454521045,0.02505094837724117,39.918648385723465,1482.5062493525838,0.10163739292245162,16.581173224099487,q8_0,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q8_0.gguf,llamacpp,cuda,resumen,100,100,1,26.643545213907643,0.014390166825647331,51804.60057233039,0.0025046085360039185,14464858.378219103,93940,8364,0.6964243626594544,0.025057046308522016,39.90893370620046,366.3926544163093,2.792195715904236,6.193759035429267,q8_0,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q6_k.gguf,llamacpp,cuda,humaneval,164,164,1,71.34146341463415,0.019400756825495986,69842.72457178555,0.0033767017254775766,23503487.492561746,51675,10727,0.13067287642781328,0.029373529051383032,34.04425795248173,185.43314902130422,2.051952426026507,6.510927992149301,q6_K,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q6_k.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.280701754385966,0.006910305378596088,24877.099362945915,0.0012027386511446491,3300614.0023136577,170633,1140,0.08856907162749976,0.02781408857880977,35.95300263629175,1294.672441514179,0.11638316020630954,21.82201698504028,q6_K,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q6_k.gguf,llamacpp,cuda,resumen,100,100,1,26.406955843461798,0.015856094010844413,57081.938439039885,0.00275975316258747,18014492.458301038,93940,8215,0.7773820757865906,0.028953360176202515,34.538305533943685,323.69523786128724,3.1559006142616273,6.9485013315934125,q6_K,,
Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q5_k_m.gguf,llamacpp,cuda,humaneval,164,164,1,73.17073170731707,0.013591399842339329,48929.03943242158,0.00236558314255916,13317771.149887133,51675,10506,0.12154135907568582,0.024010340486189174,41.64872216515227,228.45088466422484,1.6596671953433897,4.657247233240204,q5_K_M,,
